Frame,Angle,Method
586,26.78,laser
587,26.68,laser
588,26.66,laser
589,26.74,laser
590,26.74,laser
591,26.72,laser
592,26.77,laser
593,26.76,laser
594,26.74,laser
595,26.78,laser
596,26.73,laser
597,26.68,laser
598,26.69,laser
599,26.77,laser
600,26.69,laser
601,26.73,laser
602,26.80,laser
603,26.72,laser
604,26.72,laser
605,26.67,laser
606,26.78,laser
607,26.66,laser
608,26.72,laser
609,26.68,laser
610,26.74,laser
611,26.68,laser
612,26.74,laser
613,26.62,laser
614,26.77,laser
615,26.72,laser
616,26.70,laser
617,26.73,laser
618,26.70,laser
619,26.77,laser
620,26.66,laser
621,26.63,laser
622,26.82,laser
623,26.66,laser
624,26.60,laser
625,26.71,laser
626,26.64,laser
627,26.73,laser
628,26.72,laser
629,26.66,laser
630,26.73,laser
631,26.75,laser
632,26.73,laser
633,26.72,laser
634,26.77,laser
635,26.77,laser
636,26.82,laser
637,26.78,laser
638,26.76,laser
639,26.73,laser
640,26.71,laser
641,26.76,laser
642,26.72,laser
643,26.85,laser
644,26.82,laser
645,26.69,laser
646,26.72,laser
647,26.78,laser
648,26.77,laser
649,26.77,laser
650,26.79,laser
651,26.70,laser
652,26.76,laser
653,26.73,laser
654,26.75,laser
655,26.74,laser
656,26.74,laser
657,26.61,laser
658,26.65,laser
659,26.66,laser
660,26.83,laser
661,26.72,laser
662,26.77,laser
663,26.77,laser
664,26.18,laser
665,26.65,laser
666,26.66,laser
667,26.67,laser
668,26.75,laser
669,26.73,laser
670,26.77,laser
671,26.73,laser
672,26.33,laser
673,26.75,laser
674,26.21,laser
675,26.66,laser
676,26.79,laser
677,26.73,laser
678,26.82,laser
679,26.72,laser
680,26.24,laser
681,26.77,laser
682,26.77,laser
683,26.76,laser
684,26.78,laser
685,26.85,laser
686,26.80,laser
687,26.90,laser
688,26.75,laser
689,26.80,laser
690,26.72,laser
691,26.73,laser
692,26.72,laser
693,26.76,laser
694,26.73,laser
695,26.80,laser
696,26.77,laser
697,26.84,laser
698,26.74,laser
699,26.67,laser
700,26.76,laser
701,26.70,laser
702,26.72,laser
703,26.80,laser
704,26.89,laser
705,26.81,laser
706,26.85,laser
707,26.75,laser
708,26.71,laser
709,26.69,laser
710,26.81,laser
711,26.73,laser
712,26.81,laser
713,26.85,laser
714,26.76,laser
715,26.78,laser
716,26.73,laser
717,26.80,laser
718,26.85,laser
719,26.82,laser
720,26.76,laser
721,26.29,laser
722,26.72,laser
723,26.79,laser
724,26.87,laser
725,26.77,laser
726,26.83,laser
727,26.76,laser
728,26.69,laser
729,26.71,laser
730,26.76,laser
731,26.81,laser
732,26.71,laser
733,26.80,laser
734,26.76,laser
735,26.75,laser
736,26.85,laser
737,26.80,laser
738,26.83,laser
739,26.81,laser
740,26.09,laser
741,25.93,laser
742,26.72,laser
743,26.79,laser
744,26.74,laser
745,26.65,laser
746,26.79,laser
747,26.76,laser
748,26.74,laser
749,26.75,laser
750,26.73,laser
751,26.02,laser
752,26.81,laser
753,26.70,laser
754,26.78,laser
755,26.74,laser
756,26.61,laser
757,26.63,laser
758,26.68,laser
759,26.72,laser
760,26.72,laser
761,26.68,laser
762,26.54,laser
763,26.57,laser
764,26.67,laser
765,26.59,laser
766,26.43,laser
767,26.31,laser
768,26.57,laser
769,26.18,laser
770,27.54,laser
771,28.00,laser
772,28.88,laser
773,29.64,laser
774,29.90,laser
775,31.24,laser
776,32.64,laser
777,33.01,laser
778,33.72,laser
779,35.13,laser
780,36.17,laser
781,37.27,laser
782,38.34,laser
783,39.59,laser
784,40.49,laser
785,41.99,laser
786,43.41,laser
787,44.38,laser
788,45.46,laser
789,46.59,laser
790,47.74,laser
791,49.17,laser
792,50.38,laser
793,51.49,laser
794,52.78,laser
795,124.43,leaflet
796,126.06,leaflet
797,128.01,leaflet
798,130.90,leaflet
799,132.34,leaflet
800,134.25,leaflet
801,136.34,leaflet
802,138.72,leaflet
803,140.92,leaflet
804,142.94,leaflet
805,144.56,leaflet
806,146.11,leaflet
807,148.44,leaflet
808,149.19,leaflet
809,151.22,leaflet
810,152.19,leaflet
811,154.19,leaflet
812,155.04,leaflet
813,156.64,leaflet
814,157.83,leaflet
815,158.56,leaflet
816,159.97,leaflet
817,161.16,leaflet
818,162.73,leaflet
819,163.08,leaflet
820,164.46,leaflet
821,165.10,leaflet
822,165.85,leaflet
823,166.26,leaflet
824,166.59,leaflet
825,167.35,leaflet
826,167.20,leaflet
827,167.79,leaflet
828,169.30,leaflet
829,169.33,leaflet
830,170.66,leaflet
831,170.76,leaflet
832,171.54,leaflet
833,171.62,leaflet
834,171.31,leaflet
835,169.35,leaflet
836,170.60,leaflet
837,170.80,leaflet
838,172.59,leaflet
839,173.86,leaflet
840,175.65,leaflet
841,176.22,leaflet
842,175.84,leaflet
843,177.17,leaflet
844,177.74,leaflet
845,178.14,leaflet
846,178.14,leaflet
847,179.10,leaflet
848,179.47,leaflet
849,179.85,leaflet
850,181.17,leaflet
851,180.60,leaflet
852,181.54,leaflet
853,182.30,leaflet
854,181.55,leaflet
855,182.31,leaflet
856,182.50,leaflet
857,183.43,leaflet
858,182.68,leaflet
859,182.51,leaflet
860,182.18,leaflet
861,181.77,leaflet
862,184.60,leaflet
863,185.15,leaflet
864,185.46,leaflet
865,186.36,leaflet
866,186.20,leaflet
867,187.05,leaflet
868,187.97,leaflet
869,186.94,leaflet
870,187.94,leaflet
871,188.12,leaflet
872,188.54,leaflet
873,187.65,leaflet
874,188.28,leaflet
875,188.46,leaflet
876,188.46,leaflet
877,188.48,leaflet
878,187.97,leaflet
879,188.66,leaflet
880,188.12,leaflet
881,188.54,leaflet
882,188.46,leaflet
883,188.28,leaflet
884,188.82,leaflet
885,188.61,leaflet
886,188.46,leaflet
887,188.12,leaflet
888,188.43,leaflet
889,188.64,leaflet
890,188.28,leaflet
891,188.46,leaflet
892,188.04,leaflet
893,188.07,leaflet
894,188.07,leaflet
895,188.15,leaflet
896,188.61,leaflet
897,188.22,leaflet
898,188.22,leaflet
899,188.97,leaflet
900,188.61,leaflet
901,188.38,leaflet
902,188.30,leaflet
903,188.46,leaflet
904,188.61,leaflet
905,189.30,leaflet
906,188.07,leaflet
907,189.00,leaflet
908,188.58,leaflet
909,187.73,leaflet
910,188.79,leaflet
911,188.48,leaflet
912,188.28,leaflet
913,188.56,leaflet
914,187.86,leaflet
915,189.12,leaflet
916,188.43,leaflet
917,188.40,leaflet
918,188.76,leaflet
919,188.61,leaflet
920,187.37,leaflet
921,188.28,leaflet
922,188.79,leaflet
923,188.76,leaflet
924,188.07,leaflet
925,188.76,leaflet
926,188.02,leaflet
927,189.00,leaflet
928,188.46,leaflet
929,188.56,leaflet
930,189.30,leaflet
931,189.12,leaflet
932,189.09,leaflet
933,188.38,leaflet
934,188.58,leaflet
935,188.79,leaflet
936,188.07,leaflet
937,187.86,leaflet
938,188.04,leaflet
939,189.30,leaflet
940,189.03,leaflet
941,188.20,leaflet
942,188.46,leaflet
943,188.94,leaflet
944,188.56,leaflet
945,188.25,leaflet
946,188.20,leaflet
947,188.40,leaflet
948,188.38,leaflet
949,188.20,leaflet
950,188.20,leaflet
951,187.30,leaflet
952,188.07,leaflet
953,187.89,leaflet
954,188.20,leaflet
955,188.53,leaflet
956,188.56,leaflet
957,189.06,leaflet
958,187.99,leaflet
959,188.56,leaflet
960,188.04,leaflet
961,188.94,leaflet
962,187.17,leaflet
963,187.35,leaflet
964,188.17,leaflet
965,188.38,leaflet
966,188.58,leaflet
967,188.35,leaflet
968,188.22,leaflet
969,188.22,leaflet
970,188.04,leaflet
971,188.04,leaflet
972,188.56,leaflet
973,188.91,leaflet
974,188.38,leaflet
975,188.53,leaflet
976,187.84,leaflet
977,187.32,leaflet
978,188.40,leaflet
979,187.17,leaflet
980,186.99,leaflet
981,188.35,leaflet
982,187.86,leaflet
983,187.82,leaflet
984,188.02,leaflet
985,187.71,leaflet
986,187.89,leaflet
987,187.84,leaflet
988,187.37,leaflet
989,187.53,leaflet
990,187.66,leaflet
991,187.79,leaflet
992,188.02,leaflet
993,187.84,leaflet
994,187.84,leaflet
995,187.86,leaflet
996,188.17,leaflet
997,188.02,leaflet
998,187.66,leaflet
999,188.35,leaflet
1000,188.20,leaflet
1001,188.20,leaflet
1002,187.99,leaflet
1003,188.07,leaflet
1004,187.86,leaflet
1005,187.64,leaflet
1006,187.66,leaflet
1007,187.46,leaflet
1008,187.28,leaflet
1009,186.94,leaflet
1010,186.99,leaflet
1011,186.22,leaflet
1012,187.14,leaflet
1013,186.24,leaflet
1014,186.42,leaflet
1015,186.40,leaflet
1016,186.92,leaflet
1017,186.58,leaflet
1018,187.10,leaflet
1019,187.12,leaflet
1020,186.96,leaflet
1021,186.78,leaflet
1022,187.48,leaflet
1023,186.76,leaflet
1024,187.26,leaflet
1025,187.79,leaflet
1026,188.50,leaflet
1027,187.82,leaflet
1028,188.71,leaflet
1029,189.95,leaflet
1030,189.98,leaflet
1031,190.65,leaflet
1032,191.84,leaflet
1033,191.46,leaflet
1034,192.36,leaflet
1035,191.39,leaflet
1036,191.25,leaflet
1037,191.43,leaflet
1038,190.97,leaflet
1039,189.45,leaflet
1040,189.59,leaflet
1041,189.56,leaflet
1042,189.45,leaflet
1043,189.24,leaflet
1044,188.50,leaflet
1045,188.58,leaflet
1046,188.40,leaflet
1047,187.30,leaflet
1048,187.64,leaflet
1049,187.43,leaflet
1050,186.24,leaflet
1051,186.24,leaflet
1052,186.42,leaflet
1053,186.62,leaflet
1054,186.26,leaflet
1055,186.42,leaflet
1056,185.90,leaflet
1057,186.40,leaflet
1058,186.20,leaflet
1059,185.71,leaflet
1060,186.26,leaflet
1061,185.53,leaflet
1062,185.93,leaflet
1063,185.83,leaflet
1064,185.37,leaflet
1065,185.24,leaflet
1066,185.25,leaflet
1067,184.52,leaflet
1068,185.29,leaflet
1069,183.47,leaflet
1070,184.60,leaflet
1071,183.88,leaflet
1072,183.91,leaflet
1073,182.77,leaflet
1074,183.51,leaflet
1075,183.69,leaflet
1076,183.31,leaflet
1077,182.39,leaflet
1078,181.81,leaflet
1079,183.56,leaflet
1080,182.20,leaflet
1081,182.96,leaflet
1082,184.06,leaflet
1083,182.55,leaflet
1084,183.10,leaflet
1085,182.92,leaflet
1086,182.54,leaflet
1087,182.17,leaflet
1088,182.93,leaflet
1089,182.91,leaflet
1090,182.53,leaflet
1091,182.57,leaflet
1092,182.35,leaflet
1093,182.37,leaflet
1094,181.60,leaflet
1095,181.99,leaflet
1096,181.59,leaflet
1097,180.82,leaflet
1098,180.82,leaflet
1099,180.62,leaflet
1100,180.43,leaflet
1101,180.62,leaflet
1102,180.23,leaflet
